ID;Mun/UF;MUNICIPIO;UF;LATITUDE;LONGITUDE
2908;SAO BENEDITO DO SUL - PE;SAO BENEDITO DO SUL;PE;-8,8;-35,95
76;MATRIZ DE CAMARAGIBE - AL;MATRIZ DE CAMARAGIBE;AL;-9,15;-35,53
2620;IBIARA - PB;IBIARA;PB;-7,5;-38,4
2900;SANHARO - PE;SANHARO;PE;-8,36;-36,56
3629;RIO DAS FLORES - RJ;RIO DAS FLORES;RJ;-22,16;-43,58
725;MAURITI - CE;MAURITI;CE;-7,38;-38,77
1987;RIO PRETO - MG;RIO PRETO;MG;-22,08;-43,82
776;SANTANA DO CARIRI - CE;SANTANA DO CARIRI;CE;-7,18;-39,73
2835;IGUARACI - PE;IGUARACI;PE;-7,83;-37,51
667;CRATO - CE;CRATO;CE;-7,23;-39,4
1376;ARANTINA - MG;ARANTINA;MG;-21,91;-44,25
1417;BOM JARDIM DE MINAS - MG;BOM JARDIM DE MINAS;MG;-21,94;-44,19
1023;MONTIVIDIU DO NORTE - GO;MONTIVIDIU DO NORTE;GO;-13,11;-48,6
114;SAO MIGUEL DOS MILAGRES - AL;SAO MIGUEL DOS MILAGRES;AL;-9,26;-35,37
1076;SANTA CRUZ DE GOIAS - GO;SANTA CRUZ DE GOIAS;GO;-17,31;-48,48
2025;SANTANA DA VARGEM - MG;SANTANA DA VARGEM;MG;-21,24;-45,5
3140;SAO JULIAO - PI;SAO JULIAO;PI;-7,08;-40,82
5441;LIZARDA - TO;LIZARDA;TO;-9,59;-46,67
727;MILAGRES - CE;MILAGRES;CE;-7,31;-38,94
5497;SAO VALERIO DA NATIVIDADE - TO;SAO VALERIO DA NATIVIDADE;TO;-11,97;-48,23
3031;FRONTEIRAS - PI;FRONTEIRAS;PI;-7,08;-40,61
2761;AFOGADOS DA INGAZEIRA - PE;AFOGADOS DA INGAZEIRA;PE;-7,75;-37,63
946;CORUMBA DE GOIAS - GO;CORUMBA DE GOIAS;GO;-15,92;-48,8
2833;IBIRAJUBA - PE;IBIRAJUBA;PE;-8,58;-36,17
3128;SAO FRANCISCO DO PIAUI - PI;SAO FRANCISCO DO PIAUI;PI;-7,25;-42,54
3577;CACHOEIRAS DE MACACU - RJ;CACHOEIRAS DE MACACU;RJ;-22,46;-42,65
730;MISSAO VELHA - CE;MISSAO VELHA;CE;-7,25;-39,14
715;JUAZEIRO DO NORTE - CE;JUAZEIRO DO NORTE;CE;-7,21;-39,31
2011;SANTA JULIANA - MG;SANTA JULIANA;MG;-19,3;-47,52
2750;TAVARES - PB;TAVARES;PB;-7,63;-37,87
649;CAMPOS SALES - CE;CAMPOS SALES;CE;-7,07;-40,37
3091;PAQUETA - PI;PAQUETA;PI;-7,1;-41,7
44;COLONIA LEOPOLDINA - AL;COLONIA LEOPOLDINA;AL;-8,9;-35,72
1489;CARMO DA CACHOEIRA - MG;CARMO DA CACHOEIRA;MG;-21,46;-45,22
762;POTENGI - CE;POTENGI;CE;-7,09;-40,02
3101;PICOS - PI;PICOS;PI;-7,07;-41,46
3649;TERESOPOLIS - RJ;TERESOPOLIS;RJ;-22,41;-42,96
1108;TROMBAS - GO;TROMBAS;GO;-13,5;-48,74
952;CUMARI - GO;CUMARI;GO;-18,26;-48,15
1034;NOVA AURORA - GO;NOVA AURORA;GO;-18,05;-48,25
1120;VILA PROPICIO - GO;VILA PROPICIO;GO;-15,45;-48,88
2866;MARAIAL - PE;MARAIAL;PE;-8,8;-35,82
2877;PANELAS - PE;PANELAS;PE;-8,66;-36
2887;POCAO - PE;POCAO;PE;-8,18;-36,7
2792;CACHOEIRINHA - PE;CACHOEIRINHA;PE;-8,48;-36,23
3154;SUSSUAPARA - PI;SUSSUAPARA;PI;-7,04;-41,38
1859;NOVA PONTE - MG;NOVA PONTE;MG;-19,13;-47,68
2045;SAO BENTO ABADE - MG;SAO BENTO ABADE;MG;-21,58;-45,07
909;BARRO ALTO - GO;BARRO ALTO;GO;-14,97;-48,91
1008;LEOPOLDO DE BULHOES - GO;LEOPOLDO DE BULHOES;GO;-16,61;-48,74
2970;BERTOLINIA - PI;BERTOLINIA;PI;-7,64;-43,95
2077;SAO JOSE DA BARRA - MG;SAO JOSE DA BARRA;MG;-20,71;-46,31
2125;SERRANOS - MG;SERRANOS;MG;-21,89;-44,51
1461;CAMPO DO MEIO - MG;CAMPO DO MEIO;MG;-21,1;-45,83
2778;BELO JARDIM - PE;BELO JARDIM;PE;-8,33;-36,42
81;NOVO LINO - AL;NOVO LINO;AL;-8,91;-35,64
738;NOVA OLINDA - CE;NOVA OLINDA;CE;-7,09;-39,68
2719;SAO JOAO DO TIGRE - PB;SAO JOAO DO TIGRE;PB;-8,07;-36,84
2948;ALAGOINHA DO PIAUI - PI;ALAGOINHA DO PIAUI;PI;-7;-40,93
2118;SERITINGA - MG;SERITINGA;MG;-21,9;-44,51
2609;DIAMANTE - PB;DIAMANTE;PB;-7,42;-38,26
3652;VALENCA - RJ;VALENCA;RJ;-22,24;-43,7
